matrix,mode,singular_value,energy_fraction,cumulative_energy_fraction
bump_152x152,51,4.3594218414820935e-15,2.840001036627905e-33,0.9999999999999999
bump_152x152,52,4.259226241285735e-15,2.7109538603256015e-33,0.9999999999999999
bump_152x152,53,4.22565658173176e-15,2.6683887765024107e-33,0.9999999999999999
bump_152x152,54,4.024137406420744e-15,2.419949538894154e-33,0.9999999999999999
bump_152x152,55,3.9293427359955665e-15,2.3072812161571554e-33,0.9999999999999999
bump_152x152,56,3.7921091029066726e-15,2.1489304259629486e-33,0.9999999999999999
bump_152x152,57,3.727082226769391e-15,2.0758628442274317e-33,0.9999999999999999
bump_152x152,58,3.695072228330938e-15,2.0403589208361672e-33,0.9999999999999999
bump_152x152,59,3.5526903697626752e-15,1.886146510861726e-33,0.9999999999999999
bump_152x152,60,3.385636480751134e-15,1.7129368735839108e-33,0.9999999999999999
bump_152x152,61,3.33209841322417e-15,1.6591908597957372e-33,0.9999999999999999
bump_152x152,62,3.230951322175581e-15,1.559989003338615e-33,0.9999999999999999
bump_152x152,63,3.1975173200433748e-15,1.5278704036453209e-33,0.9999999999999999
bump_152x152,64,2.985653440971078e-15,1.332108190005182e-33,0.9999999999999999
bump_152x152,65,2.9263458557856126e-15,1.2797113227172255e-33,0.9999999999999999
bump_152x152,66,2.884266161866606e-15,1.2431724489348785e-33,0.9999999999999999
bump_152x152,67,2.8324876844521827e-15,1.1989381167302842e-33,0.9999999999999999
bump_152x152,68,2.784578781973081e-15,1.1587232631430052e-33,0.9999999999999999
bump_152x152,69,2.7730176393465604e-15,1.14912155563254e-33,0.9999999999999999
bump_152x152,70,2.698340070249207e-15,1.08806307563562e-33,0.9999999999999999
bump_152x152,71,2.6111489438300333e-15,1.0188822530038067e-33,0.9999999999999999
bump_152x152,72,2.5135955483312843e-15,9.441728416248955e-34,0.9999999999999999
bump_152x152,73,2.5012853945082936e-15,9.349474499483261e-34,0.9999999999999999
bump_152x152,74,2.42303378212641e-15,8.773636664298959e-34,0.9999999999999999
bump_152x152,75,2.358582701248872e-15,8.313098471845845e-34,0.9999999999999999
