girder,parameter,step,observation_index,dx,dpx,dy,dpy,dz,dpz
GIRDER_4CD,y_pitch,1e-06,46,0.0,0.0,1.2986238770250156,-0.8861246673576649,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,48,0.0,0.0,1.2773568850084231,-0.8861246673576649,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,50,0.0,0.0,1.2064669116197824,-0.8861246673576649,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,52,0.0,0.0,1.1168797077498869,-0.8861246673576649,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,53,0.0,0.0,1.1168797077498869,-0.8861246673576649,0.0,0.0
GIRDER_4CD,y_pitch,1e-06,1177,2.023684443913911e-16,2.3959157195627735e-17,0.5205436349767003,-0.9161320116881548,1.6155871338926322e-20,0.0
GIRDER_4CD,tilt,1e-06,33,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_4CD,tilt,1e-06,34,0.0,0.0,-0.0003904245715785616,-0.003255332158546024,0.0,0.0
GIRDER_4CD,tilt,1e-06,36,0.0,0.0,-0.0009828950244339418,-0.0032553321585460306,0.0,0.0
GIRDER_4CD,tilt,1e-06,37,0.0,0.0,-0.0009828950244339418,-0.0032553321585460306,0.0,0.0
GIRDER_4CD,tilt,1e-06,38,0.0,0.0,-0.001607918798874774,-0.0032553321585460375,0.0,0.0
GIRDER_4CD,tilt,1e-06,40,0.0,0.0,-0.0024803478173650965,-0.003255332158546044,0.0,0.0
GIRDER_4CD,tilt,1e-06,42,0.0,0.0,-0.0219586901761118,-0.009361934201916814,0.0,0.0
GIRDER_4CD,tilt,1e-06,44,0.0,0.0,-0.024381090650857744,-0.009361934201916814,0.0,0.0
GIRDER_4CD,tilt,1e-06,46,0.0,0.0,-0.034487576924750685,-0.037064803340646914,0.0,0.0
GIRDER_4CD,tilt,1e-06,48,0.0,0.0,-0.035377132204926214,-0.037064803340646914,0.0,0.0
GIRDER_4CD,tilt,1e-06,50,0.0,0.0,-0.03834231647217797,-0.037064803340646914,0.0,0.0
GIRDER_4CD,tilt,1e-06,52,0.0,0.0,-0.04208956808991733,-0.037064803340646914,0.0,0.0
GIRDER_4CD,tilt,1e-06,53,0.0,0.0,-0.04208956808991733,-0.037064803340646914,0.0,0.0
GIRDER_4CD,tilt,1e-06,1177,7.068193710780266e-22,1.262177448353619e-22,-0.053596782989398795,-0.056847879545081,6.310887241768094e-23,0.0
GIRDER_5AB,x_offset,1e-05,61,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,x_offset,1e-05,62,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,x_offset,1e-05,64,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,x_offset,1e-05,66,0.12055454534989228,0.5903490712964546,0.0,0.0,6.903000882767326e-13,0.0
GIRDER_5AB,x_offset,1e-05,68,0.1294097814194934,0.5903490712964546,0.0,0.0,6.903000882767326e-13,0.0
GIRDER_5AB,x_offset,1e-05,70,0.2637141951417772,0.5903490712964546,0.0,0.0,6.903000882767326e-13,0.0
